letters,times_seen,distinct_words,words_that_give_it
GRATING,1,1,grid (1)
GRAVELLY,1,1,hoarse (1)
GRAYLING,1,1,fish (1)
GRIM,1,1,resolute (1)
GRIME,1,1,smut (1)
GROW UP,1,1,mature (1)
GROWING,1,1,thriving (1)
GUESTS,1,1,visitors (1)
GUM,1,1,glue (1)
HAGGISH,1,1,like <i>wyrd sister</i>’s (1)
HALF,1,1,not entirely (1)
HAMMED,1,1,acted horribly (1)
HAN,1,1,chinese (1)
HANDER,1,1,her (1)
HANG,1,1,string up (1)
HAPPY,1,1,one of seven (1)
HAVE,1,1,receive (1)
HE,1,1,male (1)
HEATED,1,1,warm (1)
HEDGES,1,1,dodges (1)
HELL,1,1,darn (1)
HELLO,1,1,welcome (1)
HERE,1,1,now (1)
HERESY,1,1,unorthodoxy (1)
HEW,1,1,cut (1)
HID,1,1,safe (1)
HIPS,1,1,haunches (1)
HIRE,1,1,charter (1)
HIS,1,1,chap’s (1)
HIT,1,1,buffet (1)
HO,1,1,house (1)
HOBOS,1,1,rovers (1)
HONDA,1,1,car (1)
HOT,1,1,in (1)
HOUSE,1,1,line (1)
HOVERING,1,1,hanging about (1)
HURL,1,1,fling (1)
ICON,1,1,computer image (1)
ID,1,1,identity (1)
IE,1,1,that is (1)
II,1,1,two (1)
ILIUM,1,1,old city (1)
ILL,1,1,bad (1)
ILLS,1,1,troubles (1)
IM,1,1,setter’s (1)
IMPATIENT,1,1,being restless (1)
INCH,1,1,island (1)
INJURE,1,1,harm (1)
IR,1,1,irish (1)
IRA,1,1,irish-american (1)
ISH,1,1,somewhat (1)
IV,1,1,drip (1)
IVE,1,1,writer’s (1)
J,1,1,jack (1)
JOB,1,1,patriarch (1)
KC,1,1,silk (1)
KIN,1,1,family (1)
KING,1,1,monarch (1)
KINGPIN,1,1,big beast (1)
KISS,1,1,touch barely registered (1)
LAG,1,1,delay (1)
LAIC,1,1,amateur (1)
LAMB,1,1,meat (1)
LAN,1,1,network (1)
LANDS,1,1,wins (1)
LAPSE,1,1,failing (1)
LARA,1,1,famous bat (1)
LAST,1,1,losing (1)
LAUREATE,1,1,nation’s poet (1)
LAW,1,1,legislation (1)
LD,1,1,led (1)
LED,1,1,managed (1)
LEFT,1,1,abandoned (1)
LEG,1,1,stage (1)
LEMON,1,1,fruit (1)
LENDER,1,1,bank possibly (1)
LENT,1,1,fast (1)
LEO,1,1,sign (1)
LESS,1,1,bar (1)
LET,1,1,hired (1)
LEVIS,1,1,casual garment (1)
LEWD,1,1,obscene (1)
LEWIS,1,1,lewis (1)
LIED,1,1,song (1)
LIGHT,1,1,fair (1)
LINES,1,1,rows (1)
LING,1,1,fish (1)
LIST,1,1,roster (1)
LIT,1,1,drunk (1)
LIVE,1,1,potentially shocking (1)
LIVED,1,1,was (1)
LIVER,1,1,meat (1)
LO,1,1,look (1)
LOGO,1,1,brand (1)
LONDON,1,1,capital (1)
LOP,1,1,cut (1)
LORD,1,1,my (1)
LORE,1,1,learning (1)
LOUDISH,1,1,rather rowdy (1)
LOURS,1,1,scowls (1)
LOVE,1,1,romance (1)
LOWER,1,1,cow (1)
LT,1,1,lieutenant (1)
LUNCH,1,1,meal (1)
MAD,1,1,wildly enthusiastic (1)
MAID,1,1,female domestic (1)
MAIDS,1,1,girl’s (1)
MANKIND,1,1,people collectively (1)
MAR,1,1,injure (1)
MARIAN,1,1,outlaw’s lover (1)
MAS,1,1,mothers (1)
MASS,1,1,crowd (1)
MATE,1,1,china (1)
MATH,1,1,us school subject (1)
MAX,1,1,the most (1)
MB,1,1,doctor (1)
MELEE,1,1,ruckus (1)
MENDED,1,1,repaired (1)
MET,1,1,encountered (1)
MI,1,1,road (1)
MIN,1,1,minute (1)
MIS,1,1,missed (1)
MIT,1,1,cambridge university (1)
MOMENT,1,1,second (1)
MOMENTUM,1,1,labour group (1)
MONEY,1,1,bread (1)
MOONING,1,1,displaying seat (1)
MOTION,1,1,a poet laureate (1)
MOURN,1,1,keen (1)
MP,1,1,politician (1)
MR,1,1,title (1)
MULL,1,1,scottish island (1)
NA,1,1,not available (1)
NEE,1,1,once known as (1)
NGE,1,1,anger (1)
NI,1,1,in oil (1)
NICE,1,1,good (1)
NIP,1,1,shot (1)
NOISE,1,1,racket (1)
NON,1,1,de gaulle’s veto (1)
NT,1,1,conservation society (1)
NUB,1,1,point (1)
NUMBER,1,1,feeling less (1)
OCD,1,1,obsessive behaviour (1)
OF,1,1,from (1)
OFF,1,1,inaccurate (1)
OG,1,1,own goal (1)
OI,1,1,attention-seeker’s (1)
OK,1,1,fine (1)
OLD,1,1,getting on (1)
OLE,1,1,cheer of approval (1)
ONES,1,1,one’s (1)
OPERA,1,1,work (1)
ORANGE,1,1,citrus (1)
OSCAR,1,1,movie award (1)
OU,1,1,university (1)
OUTLAND,1,1,border (1)
OVERT,1,1,open (1)
OW,1,1,that’s sensitive (1)
OWING,1,1,outstanding (1)
OZ,1,1,australia (1)
PACEMAKER,1,1,beat regulator (1)
PAID,1,1,coughed up (1)
PAL,1,1,crony (1)
PAPER,1,1,daily (1)
PAR,1,1,expected score (1)
PAST,1,1,former (1)
PAWN,1,1,another man (1)
PEN,1,1,cage (1)
PERSON,1,1,individual (1)
PETER,1,1,safe (1)
PETS,1,1,cats maybe (1)
PHOBOS,1,1,martian moon (1)
PIANOLA,1,1,instrument (1)
PIECE,1,1,pistol (1)
PILS,1,1,lager (1)
PIPER,1,1,peter (1)
PIRATE,1,1,criminal (1)
PLUMBS,1,1,sounds (1)
POACH,1,1,catch without licence (1)
POINTING,1,1,mortar (1)
POP,1,1,dad (1)
POPE II,1,1,st peter’s successor (1)
POSH,1,1,swanky (1)
PRE,1,1,prior to (1)
PRESENT,1,1,now (1)
PRIOR,1,1,previous (1)
PRO,1,1,for (1)
PS,1,1,potatoes (1)
PT,1,1,training (1)
PUP,1,1,little pet (1)
PURGE,1,1,witch-hunt (1)
QUAD,1,1,vehicle (1)
QUANT,1,1,financial wizard (1)
QUERY,1,1,question (1)
QUITO,1,1,capital (1)
RACE,1,1,rush (1)
RAGE,1,1,fury (1)
RAIL,1,1,track (1)
RAIN,1,1,shower (1)
RAKE,1,1,libertine (1)
RALLY,1,1,exchange of shots (1)
RAMP,1,1,slope (1)
RANT,1,1,tirade (1)
RAP,1,1,criticism (1)
RAT,1,1,renegade (1)
RATES,1,1,fees (1)
RAVE,1,1,party (1)
RAZE,1,1,level (1)
RD,1,1,road (1)
READ,1,1,study (1)
REAL,1,1,authentic (1)
RED,1,1,bloody (1)
REED,1,1,grass (1)
REELED,1,1,wound (1)
REGULAR,1,1,serviceman (1)
RELAYED,1,1,broadcast (1)
RESENT,1,1,begrudge (1)
RESIN,1,1,"15, perhaps (1)"
REST,1,1,others (1)
